CustomerID,Age,Gender,City,AnnualIncome_INR,TenureMonths,CardType,CreditLimit_INR,NumProductsHeld,DaysSinceLastTxn,TxnPerMonth,AvgMonthlySpend_INR,CreditUtilization,LatePayments12M,Complaints6M,ServiceCalls6M,MobileAppLogins3M,RewardsRedeemed12M,AutoPayEnabled,Churned
CUST100042,60,Female,Hyderabad,796000,28,Silver,184000,1,16,11,8410,0.551,1,1,3,10,4,0,1
CUST100043,51,Female,Bangalore,718000,77,Silver,225000,1,22,7,10059,0.249,0,0,0,45,2,1,0
CUST100044,42,Male,Hyderabad,507000,36,Basic,93000,3,23,10,7774,0.532,5,0,1,26,1,0,0
CUST100045,49,Female,Hyderabad,1005000,58,Gold,288000,5,103,1,9715,0.213,0,0,2,0,0,0,1
CUST100046,61,Male,Pune,948000,33,Basic,190000,3,25,10,6141,0.01,0,0,1,17,1,1,0
CUST100047,63,Female,Bangalore,735000,32,Silver,246000,3,3,3,11279,0.01,2,0,1,33,1,0,0
CUST100048,50,Male,Mumbai,472000,15,Basic,70000,5,7,10,3750,0.158,0,0,0,0,1,1,0
CUST100049,38,Female,Mumbai,783000,33,Silver,213000,1,19,6,15129,0.353,0,0,2,10,3,0,0
CUST100050,41,Male,Bangalore,702000,11,Silver,132000,2,37,5,4917,0.573,1,0,1,,1,0,0
CUST100051,60,Male,Bangalore,350000,3,Basic,48000,2,33,17,5190,0.199,1,2,6,11,4,1,1
CUST100052,50,Female,Delhi NCR,325000,27,Basic,68000,1,50,9,6019,0.551,2,0,1,17,0,0,1
CUST100053,51,Female,Bangalore,995000,4,Gold,365000,2,65,9,15698,0.01,1,0,0,15,2,1,0
CUST100054,45,Male,Bangalore,300000,20,Basic,42000,1,22,8,2164,0.477,2,0,0,29,3,1,0
CUST100055,45,Female,Pune,817000,2,Silver,231000,2,1,15,19624,0.131,0,0,0,19,5,0,0
CUST100056,66,Female,Mumbai,561000,33,Silver,138000,1,39,9,5920,0.271,1,1,1,0,4,1,0
CUST100057,60,Male,Mumbai,1498000,14,Platinum,834000,3,55,9,52069,0.193,0,0,2,11,1,0,0
CUST100058,48,Male,Pune,556000,6,Silver,171000,1,18,8,8722,0.371,2,1,3,15,2,1,0
CUST100059,56,Male,Pune,1048000,19,Gold,332000,2,52,4,13064,0.268,0,0,1,0,0,0,1
CUST100060,57,Female,Hyderabad,586000,18,Silver,133000,2,21,4,5732,0.137,2,0,0,,2,0,0
CUST100061,72,Male,Pune,777000,51,Silver,217000,1,31,3,8736,0.385,0,1,4,7,0,0,0
CUST100062,44,Male,Hyderabad,1094000,87,Gold,514000,2,21,14,39382,0.19,3,1,1,31,4,0,0
CUST100063,57,Female,Delhi NCR,,49,Silver,188000,5,26,6,7493,0.01,1,0,0,25,1,0,0
CUST100064,65,Female,Delhi NCR,1262000,5,Gold,444000,3,109,2,13455,0.293,3,0,0,14,1,0,1
CUST100065,72,Female,Delhi NCR,422000,10,Basic,87000,2,98,4,3564,0.222,1,0,0,0,0,0,1
CUST100066,48,F,Bangalore,858000,156,Silver,200000,2,37,8,10792,0.01,0,0,0,14,1,1,0
CUST100067,50,Female,Hyderabad,1212000,19,Gold,644000,3,55,6,27168,0.184,0,0,0,10,1,1,0
CUST100068,63,Female,Delhi NCR,1049000,18,Platinum,508000,2,21,10,33891,0.108,1,1,4,13,1,1,0
CUST100069,40,Female,Bangalore,2093000,58,Platinum,1577000,1,32,4,30514,0.615,1,2,6,8,2,0,1
CUST100070,58,Male,Delhi NCR,479000,56,Basic,74000,1,14,20,5279,0.155,0,0,5,18,7,0,0
CUST100071,72,Male,Mumbai,342000,6,Basic,82000,2,1,20,6862,0.302,0,0,0,21,4,0,0
CUST100072,60,Male,Mumbai,422000,32,Basic,82000,2,76,17,5009,0.274,2,0,1,6,4,0,0
CUST100073,35,Female,Mumbai,1049000,5,Silver,233000,1,100,7,17913,0.505,1,0,0,22,2,1,1
CUST100074,46,Male,Hyderabad,959000,63,Gold,348000,1,26,5,15933,0.026,2,0,0,8,3,0,0
CUST100075,,Male,Delhi NCR,772000,4,Silver,240000,1,21,13,17684,0.555,1,0,1,29,1,1,1
CUST100076,69,Female,Pune,393000,27,Basic,82000,1,40,6,3406,0.442,1,0,0,8,1,1,0
CUST100077,53,Male,Chennai,1112000,72,Gold,439000,1,13,14,31907,0.367,0,0,0,12,2,0,0
CUST100078,38,Male,Mumbai,372000,21,Basic,66000,4,14,3,1653,0.371,0,1,4,8,2,1,0
CUST100079,54,Female,Mumbai,1380000,43,Platinum,954000,1,19,6,43987,0.532,0,0,1,2,1,0,0
CUST100080,56,Female,Pune,3512000,31,Platinum,2186000,1,76,17,129169,0.043,1,0,2,32,2,0,0
CUST100081,49,Male,Delhi NCR,892000,69,Silver,186000,1,10,5,7763,0.309,3,0,0,0,2,0,0
CUST100082,44,Male,Hyderabad,1005000,105,Gold,343000,1,38,5,3623,0.348,1,0,0,5,2,1,0
CUST100083,72,Male,Mumbai,556000,44,Silver,158000,4,6,2,3801,0.423,1,0,1,37,1,1,0
CUST100084,66,Female,Chennai,300000,89,Basic,64000,1,22,5,4193,0.256,4,0,2,8,0,1,0
CUST100085,67,Female,Pune,524000,16,Basic,119000,2,22,7,7676,0.31,3,0,0,18,3,0,0
CUST100086,53,Male,Mumbai,400000,28,Basic,80000,2,6,9,6448,0.206,2,0,1,62,0,1,0
CUST100087,48,Female,Delhi NCR,329000,21,Basic,61000,2,41,10,5253,0.05,0,2,6,42,2,1,0
CUST100088,50,Male,Hyderabad,1881000,92,Platinum,1298000,1,7,2,56726,0.37,1,0,1,6,1,0,0
CUST100089,42,Male,Delhi NCR,848000,59,Silver,203000,2,26,1,5842,0.027,0,0,1,1,0,0,0
CUST100090,72,Female,Delhi NCR,899000,14,Gold,350000,2,27,7,12450,0.132,2,1,2,36,3,0,0
CUST100091,53,Male,Delhi NCR,615000,17,Silver,142000,4,20,8,10439,0.02,1,1,2,17,3,1,0
CUST100092,72,Male,Delhi NCR,663000,108,Silver,140000,2,7,3,5625,0.133,0,0,0,9,3,0,1
CUST100093,50,Male,Pune,1240000,10,Gold,526000,1,59,0,27817,0.245,1,1,3,3,0,1,1
CUST100094,60,Female,Pune,717000,18,Silver,202000,1,13,10,10937,0.084,0,0,0,10,4,1,0
CUST100095,57,Female,Delhi NCR,977000,17,Gold,439000,2,10,3,27546,0.543,4,0,0,0,1,1,0
CUST100096,41,Female,Pune,655000,2,Silver,196000,3,49,18,15923,0.01,0,1,2,21,3,0,0
CUST100097,72,Male,Mumbai,604000,31,Silver,171000,1,90,9,13833,0.243,1,0,0,10,1,0,0
CUST100098,50,Male,Mumbai,336000,19,Basic,65000,1,16,8,5365,0.076,1,0,2,17,1,1,0
CUST100099,43,Female,Bangalore,300000,5,Basic,52000,2,28,10,2192,0.305,2,1,5,14,1,0,0
CUST100100,63,Male,Hyderabad,632000,2,Silver,185000,1,52,5,7197,0.438,1,0,2,6,1,0,0
CUST100101,55,Female,Mumbai,752000,20,Silver,178000,1,60,10,7469,0.296,0,0,0,11,2,1,0
CUST100102,59,Female,Mumbai,360000,59,Basic,68000,1,1,7,2216,0.365,0,0,1,33,1,0,0
CUST100103,56,Male,Bangalore,716000,53,Silver,218000,1,36,8,14309,0.616,0,3,1,20,1,1,1
CUST100104,36,Female,Pune,751000,10,Silver,180000,1,43,0,5124,0.074,3,0,0,0,1,1,1
CUST100105,46,Male,Mumbai,300000,13,Platinum,184000,2,64,0,5653,0.32,3,0,1,3,1,0,1
CUST100106,45,Male,Delhi NCR,441000,24,Basic,69000,1,52,1,2682,0.593,3,0,2,0,2,1,1
CUST100107,67,Male,Chennai,913000,4,Gold,331000,4,45,3,5777,0.179,0,0,0,9,2,0,0
CUST100108,55,Male,Delhi NCR,902000,36,Gold,288000,1,72,5,18174,0.237,0,0,0,0,1,1,1
CUST100109,61,Female,Mumbai,387000,11,Basic,84000,3,31,5,3424,0.19,1,1,2,20,4,0,0
CUST100110,51,Female,Mumbai,,73,Silver,258000,1,91,6,14537,0.196,2,0,0,0,2,0,1
CUST100111,61,Female,Delhi NCR,1280000,37,Gold,562000,2,24,11,42573,0.179,2,0,2,15,2,0,0
CUST100112,53,Female,Bangalore,1118000,14,Gold,606000,2,32,5,38936,0.295,2,1,4,14,1,0,0
CUST100113,52,Male,Pune,692000,57,Basic,118000,1,14,15,8695,0.292,0,0,0,7,0,0,0
CUST100114,57,male ,Chennai,564000,79,Silver,237000,1,21,7,4441,0.474,1,2,5,12,3,1,0
CUST100115,56,Female,Chennai,516000,28,Basic,87000,1,35,15,6733,0.194,1,1,1,6,1,1,0
CUST100116,72,Female,Hyderabad,943000,12,Gold,395000,3,30,1,13948,0.662,3,0,0,32,1,0,1
CUST100117,46,Male,Delhi NCR,812000,114,Silver,205000,4,70,0,4277,0.192,2,0,2,5,1,0,0
CUST100118,40,Male,Delhi NCR,1031000,70,Gold,440000,3,19,10,27938,0.619,1,0,1,5,0,1,0
CUST100119,59,Male,Hyderabad,784000,84,Silver,245000,1,17,11,13951,0.103,1,0,1,27,4,0,0
CUST100120,47,Male,Delhi NCR,1144000,39,Gold,448000,2,31,5,12180,0.061,0,0,1,36,0,1,0
CUST100121,35,Female,Chennai,768000,37,Basic,178000,1,117,5,9736,0.456,1,0,0,11,1,1,1
CUST100122,44,Male,Chennai,1123000,41,Gold,469000,3,47,9,22504,0.188,2,0,1,16,4,0,0
CUST100123,72,Female,Mumbai,1178000,7,Gold,494000,3,26,9,25050,0.289,0,0,1,27,2,0,0
CUST100124,45,Female,Bangalore,469000,33,Basic,69000,3,6,5,2705,0.152,0,0,1,18,2,0,0
CUST100125,38,Female,Mumbai,300000,7,Basic,57000,1,24,9,4512,0.12,1,0,2,6,3,1,0
CUST100126,72,Male,Mumbai,1705000,11,Platinum,1012000,1,1,13,69943,0.343,1,0,0,30,1,1,0
CUST100127,43,Male,Bangalore,840000,14,Silver,203000,1,35,0,6286,0.063,0,2,3,2,0,0,1
CUST100128,72,Female,Delhi NCR,300000,50,Basic,45000,1,19,11,2494,0.294,2,1,3,24,1,1,0
CUST100129,51,Female,Pune,493000,25,Basic,128000,1,28,13,10200,0.11,1,1,2,17,1,0,0
CUST100130,72,Male,Hyderabad,1115000,25,Gold,425000,1,35,4,25358,0.493,2,0,1,11,0,1,1
CUST100131,,Female,Pune,625000,38,Basic,81000,1,17,10,5883,0.166,1,0,1,6,1,1,0
CUST100132,60,Male,Delhi NCR,550000,25,Basic,85000,1,54,17,8426,0.503,0,0,0,5,1,1,0
CUST100133,53,Female,Delhi NCR,1576000,44,Platinum,949000,2,10,3,44209,0.253,0,0,0,11,2,1,0
CUST100134,52,Male,Delhi NCR,,4,Basic,79000,1,40,2,1683,0.741,4,0,1,0,0,1,1
CUST100135,57,Male,Mumbai,470000,18,Basic,91000,4,17,7,3464,0.384,1,0,0,6,3,0,0
CUST100136,61,Male,Hyderabad,819000,26,Silver,250000,3,27,12,15700,0.145,0,1,3,8,1,0,0
CUST100137,57,Male,Delhi NCR,904000,5,Gold,320000,1,53,6,12161,0.186,2,0,0,20,0,1,0
CUST100138,55,Male,Mumbai,958000,22,Gold,407000,1,143,9,15998,0.344,0,1,3,,2,0,1
CUST100139,47,Male,Pune,1204000,22,Gold,406000,2,26,5,8103,0.315,1,1,3,8,0,1,0
CUST100140,54,Male,Delhi NCR,814000,43,Silver,197000,1,22,1,3911,0.109,1,2,5,4,0,1,1
CUST100141,72,Female,Mumbai,,14,Gold,319000,1,16,7,15205,0.68,1,1,1,20,1,0,0
CUST100142,46,Male,Mumbai,632000,38,Silver,135000,1,1,10,8038,0.064,0,1,3,29,1,0,0
CUST100143,58,Female,Chennai,755000,47,Silver,245000,1,32,8,10212,0.031,1,0,0,6,4,0,0
CUST100144,71,Female,Pune,774000,41,Silver,237000,1,13,6,11787,0.171,1,1,5,40,3,1,0
CUST100145,61,Male,Mumbai,821000,12,Silver,263000,1,5,3,9017,0.704,1,0,0,14,1,1,0
CUST100146,67,Male,Hyderabad,1116000,45,Gold,450000,1,45,2,21716,0.195,0,1,5,16,1,0,0
CUST100147,43,Female,Pune,990000,42,Gold,451000,1,62,5,19537,0.259,2,0,3,11,0,0,1
CUST100148,58,Female,Pune,747000,14,Silver,139000,2,61,9,9704,0.486,2,0,0,0,5,0,0
CUST100149,51,Male,Mumbai,467000,10,Basic,95000,1,32,9,5821,0.415,0,1,5,31,2,0,1
CUST100150,52,Female,Mumbai,757000,14,Silver,212000,1,38,6,5967,0.532,1,0,0,15,3,1,1
CUST100151,72,Male,Pune,718000,7,Silver,217000,1,54,8,11546,0.142,1,0,0,21,0,0,0
CUST100152,52,Male,Delhi NCR,811000,29,Silver,236000,1,13,10,9031,0.642,2,0,1,19,0,0,0
CUST100153,58,Female,Bangalore,2455000,26,Platinum,1227000,5,64,4,50423,0.372,1,1,3,7,2,1,0
CUST100154,38,Male,Chennai,547000,21,Basic,70000,1,10,3,2142,0.01,0,1,7,27,0,1,0
CUST100155,72,Female,Mumbai,920000,13,Gold,321000,1,4,7,18476,0.366,1,0,0,15,1,0,0
CUST100156,66,Male,Pune,1313000,5,Gold,579000,1,25,7,17858,0.285,0,0,0,9,2,1,0
CUST100157,54,Female,Hyderabad,770000,79,Silver,235000,1,6,3,9304,0.345,1,0,1,12,1,0,0
CUST100158,51,Male,Chennai,2639000,30,Basic,350000,1,36,11,26190,0.128,0,0,2,47,1,0,0
CUST100159,62,Male,Delhi NCR,592000,53,Silver,133000,2,19,7,8738,0.425,3,0,0,23,2,1,0
CUST100160,70,Male,Pune,872000,62,Gold,303000,1,21,10,14200,0.599,1,0,1,5,2,0,1
CUST100161,72,Male,Bangalore,,53,Basic,77000,1,9,10,4707,0.23,2,1,4,21,3,0,0
CUST100162,65,Female,Chennai,601000,20,Silver,123000,1,20,17,10668,0.32,2,0,0,12,2,0,0
CUST100163,55,Male,Pune,836000,35,Silver,169000,1,2,11,15802,0.291,1,1,3,40,3,0,0
CUST100164,68,Male,Chennai,1162000,3,Gold,396000,1,33,12,14723,0.175,2,0,0,37,1,1,0
CUST100165,65,Male,Delhi NCR,869000,59,Gold,353000,1,29,6,12462,0.261,2,0,0,0,0,0,1
CUST100166,56,Male,Mumbai,1458000,82,Platinum,698000,1,33,4,54588,0.321,1,0,1,0,1,1,0
CUST100167,64,Female,Mumbai,692000,94,Silver,184000,2,41,6,8207,0.253,1,0,1,4,1,1,0
CUST100168,64,Male,Bangalore,608000,10,Silver,197000,1,66,3,3360,0.56,1,0,1,6,1,0,1
CUST100169,54,Female,Bangalore,3227000,9,Platinum,1502000,2,56,16,98093,0.248,0,0,1,9,4,1,0
CUST100170,49,Male,Bangalore,906000,24,Gold,349000,4,11,10,3594,0.331,0,0,2,32,1,1,0
CUST100171,63,Female,Delhi NCR,491000,36,Basic,102000,3,1,7,5648,0.361,0,0,1,19,1,1,0
CUST100172,44,Male,Pune,498000,32,Basic,81000,1,64,15,7660,0.141,2,0,1,9,4,0,0
CUST100173,42,Male,Hyderabad,434000,69,Basic,68000,1,19,5,2249,0.511,0,0,0,7,1,0,0
CUST100174,58,Female,Delhi NCR,1221000,27,Gold,591000,1,56,7,26209,0.388,1,1,1,0,2,1,1
CUST100175,62,Female,Chennai,597000,26,Silver,153000,3,3,2,7105,0.714,2,0,1,28,0,0,1
CUST100176,,Female,Chennai,782000,27,Silver,255000,1,2,13,8474,0.389,1,0,1,6,2,1,0
CUST100177,60,Male,Bangalore,704000,20,Silver,206000,2,25,9,7180,0.734,1,1,2,17,0,0,0
CUST100178,36,Male,Mumbai,1091000,20,Gold,409000,1,2,9,22003,0.666,4,0,0,32,0,1,0
CUST100179,62,Female,Pune,458000,14,Basic,88000,2,33,11,4351,0.24,2,0,0,28,4,0,0
CUST100180,72,Male,Hyderabad,404000,6,Basic,75000,2,6,17,5621,0.15,0,0,0,16,6,0,0
CUST100181,66,Female,Chennai,825000,11,Silver,266000,2,40,3,6510,0.155,0,1,2,10,1,0,0
CUST100182,65,Male,Hyderabad,1015000,6,Gold,366000,5,47,4,16544,0.178,0,1,2,16,2,0,0
CUST100183,57,Male,Hyderabad,876000,24,Gold,353000,1,14,6,16382,0.342,2,0,0,9,0,1,0
CUST100184,58,Female,Delhi NCR,467000,125,Basic,81000,1,26,6,4584,0.22,1,0,0,8,6,0,0
CUST100185,53,Female,Chennai,1059000,31,Gold,477000,2,4,13,35383,0.165,1,1,3,15,3,1,0
CUST100186,59,Male,Bangalore,485000,28,Platinum,240000,2,42,10,15498,0.308,0,0,1,10,1,0,0
CUST100187,44,Male,Hyderabad,,29,Basic,114000,1,48,4,2741,0.388,0,0,2,0,3,1,1
CUST100188,72,Female,Mumbai,434000,9,Basic,83000,1,30,11,6084,0.312,0,0,2,17,2,1,0
CUST100189,46,Male,Delhi NCR,1492000,24,Platinum,692000,3,20,17,51233,0.173,0,0,2,9,1,1,0
CUST100190,66,Male,Pune,1033000,9,Gold,503000,1,54,6,23216,0.526,1,1,4,0,2,1,1
CUST100191,72,F,Delhi NCR,1017000,38,Gold,570000,2,23,6,36401,0.346,0,1,2,16,2,0,0
CUST100192,66,Female,Pune,1448000,64,Platinum,1039000,4,73,7,42073,0.246,1,1,1,24,1,0,0
CUST100193,72,Female,Delhi NCR,3426000,9,Platinum,2500000,1,16,10,213634,0.06,2,0,1,19,3,1,0
CUST100194,36,Male,Hyderabad,300000,94,Basic,54000,2,56,11,4943,0.772,5,0,1,9,3,0,0
CUST100195,50,Male,Hyderabad,486000,76,Basic,60000,1,13,6,3573,0.334,2,0,0,15,3,0,0
CUST100196,72,Male,Delhi NCR,520000,1,Basic,61000,1,63,11,2750,0.096,0,2,4,13,3,1,1
CUST100197,42,Male,Pune,457000,16,Basic,84000,3,24,4,1228,0.252,2,2,2,7,1,1,0
CUST100198,46,Male,Delhi NCR,403000,8,Basic,63000,2,48,4,3542,0.389,1,1,1,4,2,0,1
CUST100199,61,Male,Bangalore,619000,7,Silver,141000,1,4,27,16429,0.278,3,0,0,20,3,1,0
CUST100200,55,Female,Chennai,374000,61,Basic,65000,3,20,13,3531,0.266,0,0,2,18,1,0,0
CUST100201,60,Male,Pune,877000,44,Gold,390000,3,12,6,25618,0.128,2,0,2,23,2,1,0
CUST100202,56,Male,Mumbai,750000,24,Silver,151000,1,11,12,7493,0.286,1,1,4,21,1,1,0
CUST100203,57,Male,Mumbai,950000,56,Gold,349000,2,8,14,22244,0.344,2,1,4,13,3,0,0
CUST100204,47,Female,Chennai,964000,50,Gold,490000,4,35,12,37952,0.551,4,1,3,19,5,0,0
CUST100205,57,Female,Bangalore,1016000,4,Gold,328000,1,44,0,6607,0.258,4,0,1,0,1,0,1
CUST100206,50,Male,Bangalore,594000,4,Silver,187000,2,1,11,11550,0.42,0,0,0,29,4,1,0
CUST100207,52,Female,Mumbai,2342000,49,Platinum,1300000,4,8,10,104875,0.509,2,0,0,20,2,0,0
CUST100208,65,Male,Delhi NCR,830000,4,Silver,248000,1,14,8,14423,0.191,4,0,1,5,0,0,1
CUST100209,42,Male,Pune,300000,65,Basic,63000,3,15,4,3677,0.257,2,0,1,3,2,0,0
CUST100210,34,Female,Mumbai,420000,36,Basic,84000,1,41,11,7189,0.826,3,0,2,24,1,0,0
CUST100211,64,Male,Delhi NCR,300000,44,Basic,61000,1,25,9,3531,0.306,0,0,0,27,1,0,0
CUST100212,57,Male,Hyderabad,736000,19,Silver,159000,1,26,4,2019,0.274,2,0,0,18,1,0,1
CUST100213,72,Female,Mumbai,682000,12,Silver,223000,1,25,0,4508,0.072,0,0,0,0,1,0,0
CUST100214,46,Male,Chennai,564000,15,Silver,130000,2,48,10,9715,0.276,3,1,4,19,3,0,1
CUST100215,54,Female,Delhi NCR,,5,Platinum,1403000,1,93,10,45635,0.267,1,1,1,7,0,0,1
CUST100216,56,Male,Pune,987000,16,Gold,413000,2,3,4,15822,0.176,0,0,0,13,1,0,0
CUST100217,48,Male,Chennai,1087000,41,Silver,321000,1,18,0,10696,0.177,0,2,3,7,0,0,1
CUST100218,45,Male,Hyderabad,437000,71,Basic,82000,1,17,7,6101,0.208,1,0,1,12,2,1,0
CUST100219,65,Male,Mumbai,421000,3,Basic,63000,1,4,13,3648,0.259,0,0,1,17,1,1,0
CUST100220,41,Male,Bangalore,744000,68,Silver,153000,1,8,9,7130,0.523,1,0,0,20,1,1,0
CUST100221,44,Male,Pune,802000,105,Silver,252000,2,4,13,17356,0.161,0,1,0,11,2,0,0
CUST100222,53,Female,Delhi NCR,300000,90,Platinum,189000,1,90,8,11425,0.233,1,0,1,8,4,1,1
CUST100223,67,Male,Mumbai,661000,28,Silver,217000,1,13,6,10055,0.306,0,0,0,25,1,1,0
CUST100224,49,Male,Mumbai,735000,68,Silver,198000,4,26,7,13443,0.385,1,0,2,14,2,0,0
CUST100225,48,Male,Hyderabad,648000,50,Silver,132000,4,44,5,4569,0.586,4,0,1,0,0,1,1
CUST100226,52,Male,Chennai,466000,27,Basic,96000,2,6,5,4528,0.389,2,0,3,7,1,0,0
CUST100227,59,Male,Chennai,542000,29,Basic,89000,3,35,0,3052,0.109,1,1,1,0,0,0,1
CUST100228,51,Female,Chennai,662000,7,Silver,191000,1,34,10,10219,0.456,2,0,1,,1,1,0
CUST100229,69,Male,Bangalore,767000,60,Platinum,412000,1,49,9,29787,0.056,3,0,0,23,1,1,0
CUST100230,70,Female,Bangalore,1017000,4,Gold,527000,1,18,6,26748,0.217,2,0,2,11,3,0,0
CUST100231,53,Female,Delhi NCR,1322000,40,Gold,445000,1,25,0,16647,0.371,3,0,1,0,1,0,0
CUST100232,72,Male,Chennai,620000,133,Silver,158000,3,9,17,13743,0.38,0,0,2,32,3,0,0
CUST100233,55,Male,Mumbai,568000,49,Silver,157000,1,26,8,9557,0.151,2,3,6,0,1,1,1
CUST100234,69,Male,Hyderabad,928000,28,Gold,298000,1,23,16,19109,0.135,0,0,2,12,4,0,0
CUST100235,59,Female,Pune,1021000,17,Gold,433000,1,5,7,18128,0.172,0,0,0,16,0,0,0
CUST100236,58,Male,Delhi NCR,574000,65,Silver,201000,1,3,11,17551,0.231,1,0,0,25,2,0,0
CUST100237,39,Female,Bangalore,1127000,4,Silver,279000,1,13,7,17154,0.132,3,1,3,28,2,1,0
CUST100238,43,Female,Mumbai,1250000,24,Gold,536000,3,21,3,14644,0.225,1,0,1,6,1,0,0
CUST100239,51,Female,Hyderabad,1484000,52,Platinum,456000,1,42,6,23356,0.362,3,0,0,4,0,0,1
CUST100240,69,Male,Hyderabad,1940000,15,Platinum,1171000,1,60,9,19467,0.732,3,0,0,,2,1,1
CUST100241,59,Female,Hyderabad,453000,18,Basic,75000,1,37,1,2068,0.393,2,1,4,0,1,0,1
CUST100242,51,Male,Delhi NCR,735000,4,Silver,170000,1,12,11,13986,0.362,3,0,1,6,2,0,1
